City,Median Income,State,population,murder,rape,robbery,agrv_assault,burglary,larceny,vehicle_theft,violent_crime,prop_crime
Alpharetta,26224,Georgia,60031,1.7,10.0,30.0,28.3,211.6,"1,792.4",45.0,70.0,"2,048.9"
Columbus,82007,Georgia,196178,8.7,15.8,215.6,266.6,"1,380.9","3,930.6",431.2,506.7,"5,742.7"
Johns Creek,28800,Georgia,80037,0.0,3.7,20.0,30.0,129.9,507.3,20.0,53.7,657.2
Roswell,35275,Georgia,92141,1.1,7.6,68.4,66.2,433.0,"1,332.7",102.0,143.3,"1,867.8"
Sandy Springs,50453,Georgia,97890,3.1,5.1,100.1,82.7,724.3,"1,911.3",173.7,191.0,"2,809.3"
Warner Robins,33527,Georgia,69231,8.7,30.3,203.7,286.0,"1,128.1","4,405.5",213.8,528.7,"5,747.4"
Caldwell,21765,Idaho,47223,2.1,14.8,14.8,224.5,563.3,1772.4,101.6,256.2,2437.4
Idaho Falls,24008,Idaho,58037,0.0,44.8,22.4,172.3,475.6,2345.1,117.2,239.5,2937.8
Meridian,50116,Idaho,77270,0.0,16.8,11.6,90.6,284.7,"1,281.2",25.9,119.1,"1,591.8"
Nampa,41060,Idaho,83316,2.4,52.8,24.0,164.4,612.1,"1,908.4",96.0,243.7,"2,616.5"
Aurora,61278,Illinois,199765,0.0,32.5,62.6,186.7,472.6,"1,249",63.1,281.8,"1,784.6"
Bloomington,33447,Illinois,77107,1.3,54.5,58.4,368.3,463.0,"1,810.5",57.1,482.4,"2,330.5"
Champaign,40599,Illinois,81329,3.7,62.7,166.0,678.7,887.8,"2,332.5",99.6,911.1,"3,319.8"
Cicero,24167,Illinois,84300,5.9,21.4,217.1,205.2,843.4,"1,453.1",338.1,449.6,"2,634.6"
Decatur,30783,Illinois,76131,7.9,34.2,139.2,281.1,"1,209.8","1,898.0",107.7,462.4,"3,215.5"
Elgin,41062,Illinois,109155,1.8,61.4,69.6,102.6,327.1,"1,416.3",72.4,235.4,"1,815.8"
Evanston,31310,Illinois,74820,4.0,5.3,105.6,189.8,562.7,"2,098.4",84.2,304.7,"2,745.3"
Joliet,52512,Illinois,148471,7.4,20.2,70.0,243.1,642.5,"1,834",106.4,340.8,"2,583"
Naperville,55580,Illinois,142840,2.1,4.9,16.8,59.5,178.5,"1,223.7",28.7,83.3,"1,431"
Peoria,49577,Illinois,115288,8.7,21.7,281.0,485.7,"1,231.7","2,923.1",201.2,797.1,"4,356"
Rockford,62552,Illinois,152293,5.9,81.4,327.7,952.8,"1,460.3","3,285.1",250.2,"1,367.8","4,995.6"
Springfield,51843,Illinois,117131,8.5,64.9,222.0,676.2,"1,425.8","4,296.9",206.6,971.6,"5,929.3"
Waukegan,31784,Illinois,89468,2.2,52.5,178.8,235.8,698.6,"2,234.3",71.5,469.4,"3,004.4"
Bloomington,33738,Indiana,81636,3.7,22.0,51.4,220.5,761.9,"3,026.9",185.0,297.7,"3,973.7"
Carmel,38523,Indiana,81819,0.0,2.4,7.3,3.7,138.1,793.2,56.2,13.4,987.5
Evansville,51696,Indiana,118194,6.8,47.4,168.4,251.3,957.7,"3,833.5",355.3,473.8,"5,146.6"
Fishers,38270,Indiana,79375,0.0,1.3,11.3,5.0,127.2,873.1,34.0,17.6,"1,034.3"
Gary,27688,Indiana,80472,46.0,69.6,341.7,447.4,"2,030.5","2,567.4",963.1,904.7,"5,560.9"
Hammond,29271,Indiana,81010,7.4,22.2,237.0,554.3,"1,155.4","2,645.4",455.5,820.9,"4,256.3"
Lafayette,31331,Indiana,68160,1.5,52.8,101.2,441.6,"1,046.1","3,494.7",290.5,597.1,"4,831.3"
Muncie,26505,Indiana,70300,1.4,12.8,140.8,211.9,981.5,"2,903.3",288.8,367.0,"4,173.5"
South Bend,42331,Indiana,101398,17.8,54.2,311.6,229.8,"1,720","2,759.4",281.1,613.4,"4,760.4"
Ames,26633,Iowa,59271,0.0,54.0,11.8,65.8,491.0,1909.9,52.3,131.6,2453.1
Ankeny,30257,Iowa,46482,0.0,17.2,15.1,40.9,305.5,1039.1,40.9,73.1,1385.5
Cedar Rapids,58123,Iowa,128401,2.3,33.5,75.5,165.9,752.3,"2,728.2",197.8,277.3,"3,678.3"
Davenport,44171,Iowa,101193,4.0,39.5,149.2,404.2,879.5,"2,877.7",282.6,596.9,"4,039.8"
Des Moines,90465,Iowa,207400,3.4,48.2,120.5,355.4,"1,212.2","3,333.7",377,527.5,"4,922.9"
Iowa City,30588,Iowa,69214,1.4,41.9,44.8,179.2,559.1,"2,014.0",88.1,267.3,"2,661.3"
Sioux City,32278,Iowa,83289,2.4,36.0,55.2,235.3,745.6,"3,175.7",244.9,329.0,"4,166.2"
Waterloo,28471,Iowa,68919,5.8,92.9,100.1,483.2,"1,201.4","2,307.1",139.3,682.0,"3,647.8"
West Des Moines,33094,Iowa,58134,0.0,27.5,13.8,122.1,366.4,2686.9,86.0,163.4,3139.3
Kansas City,57487,Kansas,147201,10.2,57.7,188.2,339.7,"1,203.8","3,096.4",820.6,595.8,"5,120.9"
Lawrence,41551,Kansas,89180,0.0,58.3,59.4,297.2,677.3,"3,577.0",227.6,414.9,"4,481.9"
Olathe,53252,Kansas,128560,0.0,29.6,18.7,100.3,245,"1,546.4",137.7,148.6,"1,929.1"
Overland Park,85022,Kansas,177085,1.1,22.6,23.7,113.5,292,"1,828.5",183,160.9,"2,303.4"
Shawnee,28168,Kansas,63542,0.0,17.3,18.9,97.6,239.2,"1,210.2",218.8,133.8,"1,668.2"
Topeka,55148,Kansas,128843,11.6,30.3,183.9,373.3,991.1,"3,855.1",463.4,599.2,"5,309.6"
Bowling Green,32904,Kentucky,59043,6.8,61.0,127.0,125.3,926.4,3932.7,264.2,320.1,5123.4
Baton Rouge,86978,Louisiana,231500,28.5,27.6,446.2,580.6,"1,652.7","3,348.2",208.2,"1,082.9","5,209.1"
Kenner,23924,Louisiana,67110,3.0,17.9,90.9,95.4,576.7,"2,939.9",222.0,207.1,"3,738.6"
