City,Median Income,State,population,murder,rape,robbery,agrv_assault,burglary,larceny,vehicle_theft,violent_crime,prop_crime
Fargo,60510,North Dakota,109813,1.8,62.8,41.9,252.2,410.7,"2,029.8",141.1,358.8,"2,581.7"
Akron,85349,Ohio,198390,12.1,84.2,290.8,499.5,"1,728.4","2,965.9",363.4,886.6,"5,057.7"
Canton,29864,Ohio,72914,13.7,87.8,567.8,330.5,"2,180.7","3,663.2",632.3,999.8,"6,476.1"
Dayton,57882,Ohio,142139,16.9,78.8,445.3,432.7,"2,140.9","3,270.7",487.6,973.7,"5,899.2"
Lorain,27930,Ohio,64148,6.2,53.0,212.0,235.4,"1,942.4","2,913.6",183.9,506.6,"5,039.9"
Parma,34406,Ohio,80963,0.0,4.9,17.3,46.9,58.1,491.6,7.4,69.2,557.0
Broken Arrow,44802,Oklahoma,100688,1.0,32.8,38.7,81.4,371.4,"1,686.4",114.2,153.9,"2,172.1"
Edmond,39282,Oklahoma,83473,2.4,14.4,24.0,61.1,363.0,"1,593.3",56.3,101.8,"2,012.6"
Lawton,34205,Oklahoma,98781,13.2,38.5,175.1,704.6,"1,579.3","3,390.3",302.7,931.4,"5,272.3"
Norman,54715,Oklahoma,113969,0.9,45.6,47.4,57.9,551.9,"1,976",148.3,151.8,"2,676.2"
Beaverton,43874,Oregon,92276,0.0,22.8,39.0,91.0,212.4,"1,262.5",119.2,152.8,"1,594.1"
Eugene,78974,Oregon,158043,0.0,45.6,124.0,102.5,958.6,"3,830.6",275.2,272.1,"5,064.4"
Gresham,42173,Oregon,108202,3.7,30.5,191.3,224.6,818.8,"2,985.2",685.8,450.1,"4,489.8"
Hillsboro,42575,Oregon,94119,2.1,36.1,55.2,97.7,343.2,"1,823.2",122.2,191.2,"2,288.6"
Medford,34867,Oregon,76037,2.6,51.3,84.2,420.8,627.3,"4,950.2",232.8,558.9,"5,810.3"
Salem,68817,Oregon,157353,4.4,25.4,87.7,240.9,662.8,"3,150.9",463.9,358.4,"4,277.6"
Bethlehem,32208,Pennsylvania,75388,2.7,25.2,160.5,127.3,500.1,"1,973.8",110.1,315.7,"2,584.0"
Erie,39704,Pennsylvania,101972,7.8,62.8,168.7,209.9,"1,073.8","2,266.3",102,449.1,"3,442.1"
Reading,31358,Pennsylvania,88557,16.9,49.7,431.4,437.0,"1,634.0","1,839.5",605.3,935.0,"4,078.7"
Scranton,31094,Pennsylvania,76118,0.0,30.2,169.5,131.4,842.1,"2,359.5",152.4,331.1,"3,354.0"
Cranston,31571,Rhode Island,80315,2.5,19.9,42.3,97.1,488.1,"1,695.8",191.7,161.9,"2,375.6"
Pawtucket,33667,Rhode Island,71085,5.6,49.2,113.9,236.3,955.2,"1,959.6",530.4,405.1,"3,445.2"
Providence,71374,Rhode Island,177882,9.6,47.2,203.5,376.7,"1,084.4","2,745.6",654.4,636.9,"4,484.4"
Warwick,36989,Rhode Island,82282,1.2,18.2,35.2,69.3,405.9,"2,051.5",115.5,124.0,"2,572.9"
Charleston,69588,South Carolina,123856,9.7,15.3,84.0,130,302,"2,231.6",189.7,239,"2,723.3"
Greenville,35609,South Carolina,60953,1.6,34.5,170.6,628.4,989.3,"3,955.5",342.9,835.1,"5,287.7"
Mount Pleasant,40023,South Carolina,70016,0.0,7.1,8.6,202.8,245.7,"1,428.2",82.8,218.5,"1,756.7"
North Charleston,53710,South Carolina,100675,12.9,60.6,210.6,448,848.3,"4,333.7",536.4,732.1,"5,718.4"
Rock Hill,31189,South Carolina,68064,11.8,52.9,164.6,427.5,592.1,"2,950.2",240.9,656.7,"3,783.2"
Rapid City,33880,South Dakota,69979,5.7,158.6,78.6,364.4,844.5,"3,906.9",328.7,607.3,"5,080.1"
Sioux Falls,90489,South Dakota,158354,1.3,87.8,44.2,265.2,567.7,"2,426.8",188.8,398.5,"3,183.4"
Clarksville,71172,Tennessee,137356,7.3,33.5,72.1,524.2,710.6,"1,891.4",121.6,637,"2,723.6"
Franklin,35730,Tennessee,64848,1.5,17.0,17.0,107.9,138.8,"1,390.9",63.2,143.4,"1,593.0"
Jackson,28458,Tennessee,65725,16.7,33.5,290.6,"1,138.1","1,478.9","3,254.5",205.4,"1,478.9","4,938.8"
Johnson City,31162,Tennessee,64342,1.6,21.8,79.3,393.2,839.3,"3,478.3",150.8,495.8,"4,468.3"
Knoxville,87036,Tennessee,182254,9.9,65.3,289.7,608.5,"1,581.3","4,594.1",501.5,973.4,"6,676.9"
Murfreesboro,63223,Tennessee,112247,2.7,49.0,119.4,453.5,822.3,"2,582.7",163.9,624.5,"3,568.9"
Abilene,47511,Texas,119886,2.5,31.7,105.9,253.6,865,"2,656.7",142.6,393.7,"3,664.3"
Allen,38830,Texas,88783,0.0,12.4,14.6,34.9,242.2,"1,321.2",49.6,61.9,"1,612.9"
Amarillo,80754,Texas,196576,5.1,56.0,141.4,447.7,"1,061.7","3,145.9",320,650.1,"4,527.5"
Beaumont,44169,Texas,120323,10.8,63.2,339.1,619.2,"1,519.2","3,089.2",231.9,"1,032.2","4,840.3"
Brownsville,64083,Texas,181102,1.7,21.0,69.0,169.5,632.2,"3,857.5",113.7,261.2,"4,603.5"
Bryan,33775,Texas,78479,1.3,39.5,87.9,268.9,632.0,"2,407.0",112.1,397.6,"3,151.2"
Carrollton,52503,Texas,124477,1.6,5.6,60.3,77.1,619.4,"1,894.3",229,144.6,"2,742.7"
Cedar Park,27998,Texas,52051,0.0,21.1,17.3,171.0,178.7,1254.5,36.5,209.4,1469.7
College Station,47029,Texas,96567,3.1,35.2,39.4,430.8,596.5,"1,824.6",62.1,508.5,"2,483.2"
Conroe,42134,Texas,59856,3.3,21.7,123.6,220.5,746.8,2507.7,188.8,369.2,3443.3
Denton,59711,Texas,118942,0.8,72.3,68.9,168.1,531.4,"2,079.2",132,310.2,"2,742.5"
Edinburg,34958,Texas,80332,1.2,36.1,62.2,344.8,"1,066.8","4,563.6",260.2,444.4,"5,890.6"
Flower Mound,29171,Texas,68023,0.0,0.0,7.4,23.5,157.3,645.4,25.0,30.9,827.7
Frisco,80665,Texas,123205,0.0,6.5,19.5,53.6,357.1,"1,650.1",43.8,79.5,"2,051.1"
Garland,80786,Texas,234984,3.0,20.0,100.4,106.4,943.9,"2,496.3",251.5,229.8,"3,691.7"
Grand Prairie,70750,Texas,181782,0.6,27.5,88.0,158.4,714,"1,824.2",347.7,274.5,"2,885.9"
Harlingen,25629,Texas,67112,6.0,34.3,92.4,271.2,903.0,"3,807.1",165.4,403.8,"4,875.4"
Irving,95909,Texas,224007,1.3,12.1,60.3,152.7,570.1,"1,993.7",251.8,226.3,"2,815.5"
Killeen,64777,Texas,131965,9.1,62.1,178.8,394.8,"1,135.1","2,497.6",145.5,644.9,"3,778.3"
Laredo,79072,Texas,245558,3.3,33.0,74.5,311.1,699.6,"3,496.5",155.2,421.9,"4,351.3"
League City,41978,Texas,86127,0.0,18.6,32.5,40.6,347.2,"1,586.0",80.1,91.7,"2,013.3"
Longview,32201,Texas,82554,8.5,33.9,158.7,359.8,"1,150.8","3,568.6",382.8,560.8,"5,102.1"
Lubbock,108609,Texas,237241,4.6,43.8,137.0,641.5,"1,306.3","3,552.9",314,827,"5,173.2"
McAllen,51319,Texas,135745,0.7,2.2,41.3,78.1,370.5,"3,499.9",155.4,122.3,"4,025.9"
McKinney,74833,Texas,138105,0.0,39.1,42.0,84.7,356.3,"1,585.7",75.3,165.8,"2,017.3"
Mansfield,26245,Texas,58490,3.4,39.3,37.6,46.2,288.9,1196.8,80.4,126.5,1566.1
Mesquite,49690,Texas,144811,1.4,9.7,126.4,167.8,"1,082.8","2,782.9",474.4,305.2,"4,340.1"
Midland,53640,Texas,115637,3.5,18.2,45.0,277.6,483.4,"2,000.2",117.6,344.2,"2,601.2"
Mission,29183,Texas,80557,3.7,7.4,57.1,60.8,525.1,"2,219.5",197.4,129.1,"2,942.0"
Missouri City,26271,Texas,70819,0.0,11.3,48.0,62.1,309.2,865.6,66.4,121.4,"1,241.2"
New Braunfels,42756,Texas,60482,1.7,31.4,44.6,112.4,496.0,"2,840.5",152.1,190.1,"3,488.6"
North Richland Hills,27385,Texas,65750,1.5,27.4,35.0,194.7,457.8,"1,817.5",115.6,258.6,"2,390.9"
Odessa,54163,Texas,103635,4.8,41.5,136.1,881.9,743,"2,475",368.6,"1,064.3","3,586.6"
Pasadena,49618,Texas,154562,5.2,33.6,95.1,268.5,646.3,"2,644.2",339,402.4,"3,629.6"
Pearland,45686,Texas,94702,1.1,19.0,29.6,80.3,292.5,"1,470.9",87.6,129.9,"1,851.1"
Pflugerville,24333,Texas,49483,2.0,18.2,12.1,90.9,282.9,1287.3,50.5,123.3,1620.8
Pharr,23919,Texas,73599,0.0,19.0,59.8,288.0,750.0,"2,212.0",195.7,366.9,"3,157.7"
Richardson,45822,Texas,103266,1.9,26.1,77.5,60,675.9,"2,106.2",126.9,165.6,"2,909"
Round Rock,48682,Texas,106232,0.0,30.1,42.4,60.2,316.3,"2,091.6",73.4,132.7,"2,481.4"
Rowlett,23939,Texas,58324,0.0,29.1,15.4,77.2,378.9,1272.2,75.4,121.7,1726.6
San Marcos,28741,Texas,47384,2.1,57.0,59.1,227.9,533.9,2526.2,225.8,346.1,3285.9
Sugar Land,36977,Texas,82924,0.0,4.8,44.6,82.0,348.5,"1,467.6",42.2,131.4,"1,858.3"
Temple,35445,Texas,68194,1.5,32.3,108.5,154.0,0,"2,101.4",130.5,296.2,0
Tyler,36292,Texas,100040,3.0,45.0,92.0,395.8,"1,024.6","3,348.7",130.9,535.8,"4,504.2"
Victoria,25267,Texas,64076,7.8,48.4,73.4,502.5,927.0,"2,944.9",160.7,632.1,"4,032.7"
Waco,52857,Texas,128595,4.7,49.0,141.5,298.6,"1,205.3","3,218.6",120.5,493.8,"4,544.5"
Wichita Falls,38473,Texas,105488,4.7,34.1,142.2,269.2,"1,193.5","3,348.2",218,450.3,"4,759.8"
Layton,28387,Utah,69420,0.0,47.5,10.1,63.4,469.6,"2,179.5",99.4,121.0,"2,748.5"
Lehi,25416,Utah,49375,0.0,8.1,6.1,22.3,255.2,1008.6,58.7,36.5,1322.5
Ogden,32848,Utah,85083,2.4,29.4,112.8,270.3,862.7,"3,585.9",253.9,414.9,"4,702.5"
Orem,31948,Utah,91953,2.2,12.0,22.8,7.6,220.8,"2,052.1",84.8,44.6,"2,357.7"
Provo,36198,Utah,116879,0.0,30.8,16.3,80.4,257.5,"1,754.8",96.7,127.5,"2,109"
St. George,38886,Utah,75780,0.0,35.6,30.4,138.6,405.1,"1,540.0",114.8,204.5,"2,059.9"
Salt Lake City,92626,Utah,192465,4.2,63.4,164.2,443.7,947.7,"5,625.4",886.4,675.4,"7,459.5"
Sandy,35081,Utah,90405,2.2,26.5,38.7,95.1,501.1,"2,287.5",157.1,162.6,"2,945.6"
South Jordan,27610,Utah,52071,0.0,7.7,19.2,17.3,332.2,1530.6,113.3,44.2,1976.1
West Jordan,36479,Utah,107103,1.9,22.4,30.8,130.7,442.6,"2,113.9",212.9,185.8,"2,769.3"
Alexandria,76890,Virginia,145892,0.0,6.2,94.6,65.8,192.6,"1,633.4",223.5,166.6,"2,049.5"
Chesapeake,94056,Virginia,227531,5.3,15.8,88.8,258.9,454.4,"2,188.3",122.6,368.7,"2,765.3"
Hampton,57645,Virginia,137905,6.5,11.6,105.9,103.7,549.7,"2,637.3",190,227.7,"3,377"
Lynchburg,28916,Virginia,77347,3.9,44.0,59.5,237.9,471.9,"2,144.9",89.2,345.2,"2,706.0"
Newport News,76086,Virginia,181591,11.0,27.5,149.2,227.4,566.7,"2,440.1",144.3,415.2,"3,151"
Norfolk,94056,Virginia,245303,13.9,30.6,200.2,298.4,921.7,"3,425.6",296.4,543,"4,643.6"
Portsmouth,40661,Virginia,96739,11.4,42.4,188.1,234.7,"1,259.1","3,506.3",218.1,476.5,"4,983.5"
Richmond,104332,Virginia,207799,20.2,18.3,304.6,305.6,976.9,"2,953.8",450,648.7,"4,380.7"
Roanoke,45061,Virginia,97780,9.2,40.9,144.2,360.0,961.3,"3,664.3",253.6,554.3,"4,879.3"
Auburn,30938,Washington,72218,8.3,31.8,152.3,150.9,"1,362.5","3,344.0",811.4,343.4,"5,518.0"
Bellevue,62868,Washington,126022,1.6,20.6,53.2,52.4,543.6,"2,102",134.1,127.8,"2,779.7"
Bellingham,42207,Washington,82665,0.0,35.1,64.1,166.9,742.8,"3,898.9",166.9,266.1,"4,808.6"
Everett,46726,Washington,105318,0.9,43.7,172.8,239.3,"1,106.2","4,064.8",921,456.7,"6,092"
Federal Way,37759,Washington,91978,3.3,46.8,115.2,156.6,"1,026.3","3,657.4",867.6,321.8,"5,551.3"
Kennewick,30295,Washington,76971,1.3,42.9,45.5,207.9,584.6,"2,332.0",165.0,297.5,"3,081.7"
Kent,50481,Washington,122102,1.6,55.7,158.9,228.5,"1,014.7","2,755.9",707.6,444.7,"4,478.2"
Kirkland,39893,Washington,50243,0.0,27.9,47.8,107.5,656.8,2462.0,173.2,183.1,3292.0
Marysville,27002,Washington,61381,3.3,26.1,58.7,101.0,648.4,"1,906.1",327.5,189.0,"2,882.0"
Pasco,26284,Washington,63806,1.6,20.4,64.3,217.8,656.7,"1,686.4",263.3,304.0,"2,606.3"
Redmond,36551,Washington,55770,0.0,14.3,19.7,30.5,308.4,1741.1,87.9,64.6,2137.3
Renton,40968,Washington,93722,2.1,28.8,122.7,148.3,957.1,"3,252.2",658.3,302.0,"4,867.6"
Sammamish,21792,Washington,47158,0.0,14.8,2.1,17.0,231.1,468.6,27.6,33.9,727.3
Spokane,95061,Washington,212163,6.1,38.2,253.1,347.8,"1,803.8","5,938.8",987.4,645.3,"8,730.1"
Spokane Valley,45025,Washington,91164,1.1,34.0,73.5,106.4,975.2,"3,821.7",473.9,215.0,"5,270.7"
Tacoma,97027,Washington,202646,5.9,45.9,239.8,505.3,"1,463.1","3,945.3",940.6,797,"6,349"
Vancouver,84778,Washington,166375,3.0,43.3,103.4,206.2,627.5,"2,610.4",655.7,355.8,"3,893.6"
Yakima,37918,Washington,93419,11.8,55.7,162.7,375.7,"1,683.8","3,324.8","1,172.1",605.9,"6,180.8"
Appleton,30831,Wisconsin,73431,0.0,38.1,30.0,222.0,345.9,"1,513.0",36.8,290.1,"1,895.7"
Green Bay,45483,Wisconsin,106080,0.9,41.5,82.0,360.1,621.2,"2,083.3",102.8,484.5,"2,807.3"
Janesville,27361,Wisconsin,63642,3.1,33.0,55.0,190.1,532.7,"3,235.3",102.1,281.3,"3,870.1"
Kenosha,42461,Wisconsin,99993,1.0,36.0,105.0,132.0,707.0,"2,194.2",98.0,274.0,"2,999.2"
Madison,134512,Wisconsin,237508,1.3,48.0,101.5,226.9,674.1,"2,483.3",106.9,377.7,"3,264.3"
Oshkosh,28147,Wisconsin,66514,0.0,19.5,27.1,240.6,511.2,"2,022.1",55.6,287.2,"2,588.9"
Racine,31700,Wisconsin,79055,5.1,39.2,266.9,161.9,"1,392.7","2,466.6",164.4,473.1,"4,023.8"
Waukesha,30668,Wisconsin,71049,1.4,36.6,33.8,78.8,327.9,"1,462.4",45.0,150.6,"1,835.4"
Cheyenne,30643,Wyoming,60969,0.0,34.4,34.4,160.7,418.2,"2,837.5",157.5,229.6,"3,413.2"
