states,cities,population,murder,rape,robbery,agrv_assault,burglary,larceny,vehicle_theft,violent_crime,prop_crime
 Minnesota,St. Paul,306696,7.17,70.75,227.26,345.62,741.45,"2,144.47",679.50,650.81,"3,565.42"
 Missouri,Kansas City,484948,30.93,91.76,383.13,"1,218.48",960.52,"2,670.39",912.88,"1,724.31","4,543.79"
 Missouri,St. Louis,310284,66.07,93.14,626.52,"1,296.55","1,011.33","4,155.55",874.36,"2,082.29","6,041.24"
 Nebraska,Omaha,449388,6.9,91.24,139.08,410.11,464.63,"2,636.70",778.84,647.32,"3,880.17"
 Nevada,Henderson,299285,3.34,28.74,80.19,72.84,363.87,"1,254.99",214.18,185.11,"1,833.04"
 Nevada,Las Vegas,627244,12.6,79.64,211.15,315.50,805.17,"1,635.16",503.06,618.90,"2,943.38"
 Nevada,North Las Vegas,242537,9.07,47.83,232.95,724.84,804.00,"1,037.37",544.66,"1,014.69","2,386.03"
 Nevada,Reno,248531,7.64,57.14,153.7,455.07,541.98,"1,967.56",576.19,673.56,"3,085.73"
 New Jersey,Jersey City,267906,7.84,45.91,199.32,256.43,417.68,"1,206.02",183.27,509.51,"1,806.98"
 New Jersey,Newark,283673,27.14,40.89,377.19,451.22,423.73,"1,128.06",843.22,896.45,"2,395.01"
 New Mexico,Albuquerque,561375,12.47,84.26,521.93,750.48,"1,246.23","4,750.84","1,368.78","1,369.14","7,365.84"
 New York,Buffalo,256169,15.61,55.43,334.54,613.66,919.71,"2,591.26",325.18,"1,019.25","3,836.14"
 New York,New York,8804190,3.39,27.56,162.42,345.52,128.87,"1,253.15",66.56,538.90,"1,448.59"
 North Carolina8,Charlotte-Mecklenburg,914609,9.4,,220.53,433.52,701.50,"2,827.00",286.68,,"3,815.18"
 North Carolina8,Durham,269088,8.55,,316.63,467.13,867.37,"2,675.70",283.18,,"3,826.26"
 North Carolina8,Greensboro,290051,15.86,,228.93,480.61,710.91,"2,559.55",291.67,,"3,562.13"
 Ohio,Cincinnati,309317,23.4,97.62,399.84,426.26,"1,152.73","3,400.69",496.46,947.12,"5,049.88"
 Ohio,Cleveland,372624,27.77,128.97,699.88,700.14,"1,518.87","2,516.15",881.01,"1,556.76","4,916.04"
 Ohio,Columbus,905748,16.28,105.37,225.06,166.70,815.29,"2,650.87",478.79,513.41,"3,944.94"
 Ohio,"Toledo,,",270871,12.63,,281.47,661.82,"1,119.75","2,615.15",268.84,,"4,003.74"
 Oklahoma,Oklahoma City,648260,12.49,73.12,172.77,528.95,941.75,"2,378.83",431.93,787.34,"3,752.51"
