states,cities,population,murder,rape,robbery,agrv_assault,burglary,larceny,vehicle_theft,violent_crime,prop_crime
Arizona,Peoria,158347,5.7,15.2,48.6,117.5,586.7,"2,196.4",168,186.9,"2,951.1"
Illinois,Peoria,115288,8.7,21.7,281.0,485.7,"1,231.7","2,923.1",201.2,797.1,"4,356"
California,Pomona,151511,11.2,41.6,248.8,372.3,594.7,"2,009.1",732.6,673.9,"3,336.4"
Florida,Pompano Beach,103003,4.9,35.9,406.8,581.5,"1,245.6","3,763",391.3,"1,029.1","5,399.8"
Florida,Port St. Lucie,168416,2.4,27.9,32.7,171.6,484.5,"1,261.2",54,234.5,"1,799.7"
Rhode Island,Providence,177882,9.6,47.2,203.5,376.7,"1,084.4","2,745.6",654.4,636.9,"4,484.4"
Utah,Provo,116879,0.0,30.8,16.3,80.4,257.5,"1,754.8",96.7,127.5,"2,109"
Colorado,Pueblo,109065,7.3,19.3,182.5,521.7,"1,737.5","4,256.2",452,730.8,"6,445.7"
California,Rancho Cucamonga,169276,2.4,9.5,66.2,111.7,862.5,"1,433.8",280.6,189.6,"2,576.9"
Nevada,Reno,230486,3.0,14.3,141.9,357.9,708.5,"2,129.8",382.2,517.2,"3,220.6"
California,Rialto,101595,3.9,16.7,197.8,282.5,883.9,"1,769.8",861.3,501,"3,514.9"
Texas,Richardson,103266,1.9,26.1,77.5,60,675.9,"2,106.2",126.9,165.6,"2,909"
California,Richmond,106357,16.9,33.8,367.6,674.1,"1,445.1","1,518.5","1,754.5","1,092.5","4,718.1"
Virginia,Richmond,207799,20.2,18.3,304.6,305.6,976.9,"2,953.8",450,648.7,"4,380.7"
Minnesota,Rochester,108582,1.8,,50.7,95.8,455.9,"1,968.1",82,,"2,505.9"
New York,Rochester,211993,17.0,52.8,385.4,520.8,"1,404.8","3,624.2",293.4,976,"5,322.3"
Illinois,Rockford,152293,5.9,81.4,327.7,952.8,"1,460.3","3,285.1",250.2,"1,367.8","4,995.6"
California,Roseville,122896,1.6,12.2,68.4,156.2,422.3,"2,063.5",189.6,238.4,"2,675.4"
Texas,Round Rock,106232,0.0,30.1,42.4,60.2,316.3,"2,091.6",73.4,132.7,"2,481.4"
Oregon,Salem,157353,4.4,25.4,87.7,240.9,662.8,"3,150.9",463.9,358.4,"4,277.6"
California,Salinas,154413,13.6,26.6,316.0,308.9,788.8,"1,687.7",700.7,665.1,"3,177.2"
Utah,Salt Lake City,192465,4.2,63.4,164.2,443.7,947.7,"5,625.4",886.4,675.4,"7,459.5"
California,San Bernardino,214987,21.9,26.0,373.5,519.1,"1,306.6","2,321.5","1,260.5",940.5,"4,888.7"
California,Santa Clara,119360,0.0,8.4,51.1,125.7,489.3,"1,904.3",376.2,185.2,"2,769.8"
California,Santa Clarita,179248,0.6,16.7,53.6,119.9,343.7,"1,016.5",169.6,190.8,"1,529.7"
California,Santa Maria,101207,0.0,20.7,143.3,517.8,703.5,"1,302.3",395.2,681.8,"2,401"
California,Santa Rosa,170862,1.2,39.2,73.7,258.1,424.3,"1,625.3",184.9,372.2,"2,234.6"
Georgia,Savannah-Chatham Metropolitan,231285,9.9,10.8,212.3,146.6,900.6,"2,413.9",284.9,379.6,"3,599.5"
Arizona,Scottsdale,223432,1.3,18.8,51.5,75.6,561.7,"2,036.9",107.9,147.2,"2,706.4"
Louisiana,Shreveport,202164,8.4,45.5,214.2,498.6,"1,199.5","3,449.2",229.5,766.7,"4,878.2"
California,Simi Valley,126686,2.4,5.5,28.4,75,314.2,"1,100.4",97.9,111.3,"1,512.4"
South Dakota,Sioux Falls,158354,1.3,87.8,44.2,265.2,567.7,"2,426.8",188.8,398.5,"3,183.4"
Indiana,South Bend,101398,17.8,54.2,311.6,229.8,"1,720","2,759.4",281.1,613.4,"4,760.4"
Washington,Spokane,212163,6.1,38.2,253.1,347.8,"1,803.8","5,938.8",987.4,645.3,"8,730.1"
Illinois,Springfield,117131,8.5,64.9,222.0,676.2,"1,425.8","4,296.9",206.6,971.6,"5,929.3"
Massachusetts,Springfield,154518,7.1,25.2,350.8,656.2,"1,499.5","2,554.4",491.9,"1,039.4","4,545.7"
Missouri,Springfield,160962,9.9,87.6,219.3,674.7,"1,376.1","6,981.8",652.9,991.5,"9,010.8"
Florida,St. Petersburg,248340,6.0,37.9,235.6,622.1,"1,181","3,479.9",352.7,901.6,"5,013.7"
Connecticut,Stamford,124201,4.0,20.1,116.7,141.7,233.5,"1,185.2",136.9,282.6,"1,555.5"
Michigan,Sterling Heights,129974,3.1,12.3,23.1,140,274.7,"1,584.2",124.6,178.5,"1,983.5"
California,Sunnyvale,143606,2.1,9.7,49.4,57.1,364.9,"1,181",233.3,118.4,"1,779.2"
Arizona,Surprise,120793,2.5,6.6,51.3,73.7,429.7,"1,532.4",97.7,134.1,"2,059.7"
New York,Syracuse,145934,9.6,51.4,311.1,568.1,"1,299.2","2,534",261.8,940.2,"4,095"
Washington,Tacoma,202646,5.9,45.9,239.8,505.3,"1,463.1","3,945.3",940.6,797,"6,349"
Florida,Tallahassee,185461,6.5,62.0,283.1,501.5,"1,418.1","2,945.6",282.5,853,"4,646.3"
California,Temecula,103414,0.0,9.7,51.3,32.9,568.6,"1,585.9",205,93.8,"2,359.4"
Arizona,Tempe,166061,6.6,26.5,152.4,343.2,752.7,"3,664.3",294.5,528.7,"4,711.5"
Colorado,Thornton,123115,0.8,47.1,33.3,188.4,386.6,"1,974.6",284.3,269.7,"2,645.5"
California,Thousand Oaks,129171,0.0,17.8,35.6,68.1,215.2,"1,138",69.7,121.5,"1,422.9"
Kansas,Topeka,128843,11.6,30.3,183.9,373.3,991.1,"3,855.1",463.4,599.2,"5,309.6"
California,Torrance,147851,2.7,11.5,62.2,52.1,357.8,"1,233",228.6,128.5,"1,819.4"
Texas,Tyler,100040,3.0,45.0,92.0,395.8,"1,024.6","3,348.7",130.9,535.8,"4,504.2"
California,Vallejo,117912,11.9,37.3,322.3,373.2,"2,279.7","1,425.6","1,250.9",744.6,"4,956.2"
Washington,Vancouver,166375,3.0,43.3,103.4,206.2,627.5,"2,610.4",655.7,355.8,"3,893.6"
California,Ventura,108511,0.9,22.1,129.0,133.6,717,"2,603.4",259.9,285.7,"3,580.3"
California,Victorville,118687,5.1,33.7,187.0,343.8,"1,547.8","1,669.1",545.1,569.6,"3,762"
California,Visalia,127604,3.9,34.5,105.0,282.9,961.6,"2,960.7",412.2,426.3,"4,334.5"
Texas,Waco,128595,4.7,49.0,141.5,298.6,"1,205.3","3,218.6",120.5,493.8,"4,544.5"
Michigan,Warren,134340,0.0,67.7,110.2,354.3,743.6,"1,525.2",550.1,532.2,"2,819"
Connecticut,Waterbury,110486,4.5,6.3,167.4,118.6,599.2,"3,202.2",464.3,296.9,"4,265.7"
California,West Covina,107861,1.9,10.2,100.1,148.3,506.2,"1,979.4",503.4,260.5,"2,989"
Utah,West Jordan,107103,1.9,22.4,30.8,130.7,442.6,"2,113.9",212.9,185.8,"2,769.3"
Florida,West Palm Beach,102422,16.6,30.3,326.1,428.6,"1,258.5","3,711.1",306.6,801.6,"5,276.2"
Utah,West Valley,133725,0.7,67.3,89.7,290.1,702.9,"2,970.3",491.3,447.9,"4,164.5"
Colorado,Westminster,109461,1.8,26.5,46.6,184.5,360.9,"1,960.5",264,259.5,"2,585.4"
Texas,Wichita Falls,105488,4.7,34.1,142.2,269.2,"1,193.5","3,348.2",218,450.3,"4,759.8"
North Carolina,Wilmington,109370,7.3,21.0,238.6,298.1,"1,548.9","3,513.8",341,565.1,"5,403.7"
North Carolina,Winston-Salem,234687,2.6,31.5,182.4,446.6,"1,929.8","3,617.6",290.6,663,"5,838"
New Jersey,Woodbridge Township,100612,0.0,3.0,54.7,63.6,335.9,"1,504.8",114.3,121.3,"1,955"
Massachusetts,Worcester,183247,4.4,18.0,228.7,708.3,"1,113.3","2,143",253.8,959.4,"3,510"
New York,Yonkers,198464,2.0,14.1,212.6,342.1,269.6,906.5,116.4,570.9,"1,292.4"
California,Alameda,75467,1.3,11.91,106.0,92.8,392.2,"1,723.9",390.9,212.0,"2,507.1"
Georgia,Albany,78512,5.1,34.4,285.3,710.7,"1,793.4","4,291.1",285.3,"1,035.5","6,369.7"
New York,Albany,98187,4.1,43.8,253.6,515.3,903.4,"3,359.9",156.8,816.8,"4,420.1"
California,Alhambra,84469,0.0,2.4,78.1,95.9,384.8,"1,585.2",301.9,176.4,"2,271.8"
Texas,Allen,88783,0.0,12.4,14.6,34.9,242.2,"1,321.2",49.6,61.9,"1,612.9"
Georgia,Alpharetta,60031,1.7,10.0,30.0,28.3,211.6,"1,792.4",45.0,70.0,"2,048.9"
California,Apple Valley,70823,4.2,9.9,91.8,206.1,979.9,"1,379.5",286.6,312.0,"2,646.0"
Wisconsin,Appleton,73431,0.0,38.1,30.0,222.0,345.9,"1,513.0",36.8,290.1,"1,895.7"
Illinois,Arlington Heights,75463,1.3,9.3,10.6,33.1,185.5,"1,088.0",22.5,54.3,"1,296.0"
North Carolina,Asheville,85295,7.0,38.7,165.3,284.9,869.9,"4,492.6",393.9,495.9,"5,756.5"
Washington,Auburn,72218,8.3,31.8,152.3,150.9,"1,362.5","3,344.0",811.4,343.4,"5,518.0"
Arizona,Avondale,78364,8.9,5.1,91.9,191.4,874.1,"3,511.8",312.6,297.3,"4,698.6"
California,Baldwin Park,76644,2.6,6.5,95.2,236.2,437.1,"1,123.4",507.5,340.5,"2,068.0"
New Jersey,Bayonne,64036,0.0,9.4,64.0,132.7,320.1,874.5,81.2,206.1,"1,275.8"
Texas,Baytown,74420,6.7,20.2,130.3,174.7,"1,261.8","3,276.0",412.5,331.9,"4,950.3"
Oregon,Beaverton,92276,0.0,22.8,39.0,91.0,212.4,"1,262.5",119.2,152.8,"1,594.1"
California,Bellflower,77886,7.7,14.1,173.3,195.2,535.4,"1,137.6",640.7,390.3,"2,313.6"
Washington,Bellingham,82665,0.0,35.1,64.1,166.9,742.8,"3,898.9",166.9,266.1,"4,808.6"
Pennsylvania,Bensalem Township,60665,1.6,11.5,64.3,54.4,553.9,"2,934.1",146.7,131.9,"3,634.7"
Pennsylvania,Bethlehem,75388,2.7,25.2,160.5,127.3,500.1,"1,973.8",110.1,315.7,"2,584.0"
North Dakota,Bismarck,64103,1.6,48.4,25.0,265.2,499.2,"2,374.3",160.7,340.1,"3,034.2"
Illinois,Bloomington,77107,1.3,54.5,58.4,368.3,463.0,"1,810.5",57.1,482.4,"2,330.5"
Indiana,Bloomington,81636,3.7,22.0,51.4,220.5,761.9,"3,026.9",185.0,297.7,"3,973.7"
Minnesota,Bloomington,84596,0.0,,69.7,74.5,268.3,"3,437.5",91.0,,"3,796.9"
Florida,Boca Raton,86493,0.0,13.9,71.7,104.1,567.7,"2,271.9",116.8,189.6,"2,956.3"
Illinois,Bolingbrook,73836,1.4,21.7,67.7,153.0,219.4,"1,273.1",50.1,243.8,"1,542.6"
Louisiana,Bossier City,63116,3.2,30.1,82.4,258.3,660.7,"3,088.0",109.3,373.9,"3,858.0"
Florida,Boynton Beach,69937,7.1,11.4,181.6,370.3,896.5,"3,160.0",215.9,570.5,"4,272.4"
New Jersey,Brick Township,75809,0.0,7.9,21.1,77.8,349.6,"1,271.6",21.1,106.8,"1,642.3"
Connecticut,Bristol,60688,4.9,14.8,84.0,49.4,585.0,"1,850.4",184.6,153.2,"2,620.0"
Massachusetts,Brockton,95156,6.3,50.4,236.5,850.2,856.5,"2,150.2",220.7,"1,143.4","3,227.3"
Minnesota,Brooklyn Park,77346,5.2,,117.7,157.7,637.4,"2,587.1",174.5,,"3,399.0"
Texas,Bryan,78479,1.3,39.5,87.9,268.9,632.0,"2,407.0",112.1,397.6,"3,151.2"
California,Buena Park,82505,1.2,15.8,93.3,139.4,414.5,"1,715.0",374.5,249.7,"2,504.1"
Minnesota,Burnsville,61218,0.0,,27.8,140.5,330.0,"2,509.1",117.6,,"2,956.6"
California,Camarillo,66506,0.0,7.5,31.6,52.6,209.0,"1,153.3",73.7,91.7,"1,436.0"
New Jersey,Camden,77665,86.3,95.3,972.1,"1,412.5","1,402.2","2,850.7",906.5,"2,566.1","5,159.3"
Ohio,Canton,72914,13.7,87.8,567.8,330.5,"2,180.7","3,663.2",632.3,999.8,"6,476.1"
Indiana,Carmel,81819,0.0,2.4,7.3,3.7,138.1,793.2,56.2,13.4,987.5
California,Carson,93233,7.5,15.0,152.3,382.9,644.6,"1,671.1",589.9,557.7,"2,905.6"
Illinois,Champaign,81329,3.7,62.7,166.0,678.7,887.8,"2,332.5",99.6,911.1,"3,319.8"
New York,Cheektowaga Town,79178,0.0,24.0,83.4,113.7,426.9,"3,026.1",109.9,221.0,"3,562.9"
New Jersey,Cherry Hill Township,71337,1.4,0.0,77.1,78.5,379.9,"2,645.2",127.6,157.0,"3,152.6"
Wyoming,Cheyenne,60969,0.0,34.4,34.4,160.7,418.2,"2,837.5",157.5,229.6,"3,413.2"
California,Chico,87090,1.1,52.8,109.1,160.8,893.3,"1,445.6",291.7,323.8,"2,630.6"
California,Chino Hills,76632,0.0,2.6,28.7,52.2,456.7,706.0,84.8,83.5,"1,247.5"
California,Chino,79792,1.3,11.3,65.2,287.0,704.3,"1,653.0",294.5,364.7,"2,651.9"
Illinois,Cicero,84300,5.9,21.4,217.1,205.2,843.4,"1,453.1",338.1,449.6,"2,634.6"
California,Citrus Heights,85112,2.3,15.3,117.5,251.4,734.3,"2,369.8",558.1,386.5,"3,662.2"
New York,Clarkstown Town,80186,0.0,5.0,33.7,56.1,133.4,"1,719.8",31.2,94.8,"1,884.4"
New Jersey,Clifton,84684,0.0,15.4,94.5,107.5,422.7,"1,275.3",166.5,217.3,"1,864.6"
Michigan,Clinton Township,97001,0.0,39.2,59.8,201.0,491.7,"1,620.6",186.6,300.0,"2,298.9"
California,Clovis,97828,3.1,34.8,58.3,127.8,976.2,"2,744.6",393.5,223.9,"4,114.4"
Texas,College Station,96567,3.1,35.2,39.4,430.8,596.5,"1,824.6",62.1,508.5,"2,483.2"
New York,Colonie Town,77853,0.0,0.0,37.2,21.8,274.9,"2,372.4",71.9,59.1,"2,719.2"
California,Compton,98057,21.4,33.7,436.5,750.6,585.4,"1,025.9",835.2,"1,242.1","2,446.5"
Arkansas,Conway,60700,1.6,47.8,125.2,240.5,675.5,"3,341.0",166.4,415.2,"4,182.9"
Minnesota,Coon Rapids,62301,1.6,,25.7,67.4,311.4,"2,669.3",96.3,,"3,077.0"
Iowa,Council Bluffs,62708,1.6,106.8,129.2,948.8,"1,546.9","4,540.1",754.3,"1,186.5","6,841.2"
Rhode Island,Cranston,80315,2.5,19.9,42.3,97.1,488.1,"1,695.8",191.7,161.9,"2,375.6"
Connecticut,Danbury,81891,1.2,28.1,55.0,48.8,350.5,"1,466.6",90.4,133.1,"1,907.4"
Florida,Davie,94952,5.3,24.2,77.9,281.2,702.5,"2,701.4",253.8,388.6,"3,657.6"
California,Davis,66628,0.0,30.0,46.5,66.0,585.3,"1,499.4",130.6,142.6,"2,215.3"
Florida,Daytona Beach,61861,6.5,37.2,289.4,822.8,"1,291.6","4,403.4",559.3,"1,155.8","6,254.3"
Michigan,Dearborn,97215,1.0,24.7,110.1,195.4,475.2,"2,533.6",367.2,331.2,"3,376.0"
Illinois,Decatur,76131,7.9,34.2,139.2,281.1,"1,209.8","1,898.0",107.7,462.4,"3,215.5"
Florida,Deerfield Beach,77431,5.2,22.0,192.4,245.4,767.1,"2,169.7",237.6,464.9,"3,174.4"
Florida,Delray Beach,62044,9.7,41.9,253.0,432.0,910.6,"3,594.2",249.8,736.6,"4,754.7"
Alabama,Dothan,66275,7.5,45.3,150.9,277.6,"1,336.9","2,894.0",196.2,481.3,"4,427.0"
Minnesota,Duluth,86830,2.3,,103.7,245.3,739.4,"3,509.2",198.1,,"4,446.6"
Minnesota,Eagan,65180,0.0,,16.9,23.0,277.7,"1,996.0",67.5,,"2,341.2"
New Jersey,East Orange,64682,7.7,34.0,219.5,301.5,539.6,739.0,522.6,562.8,"1,801.1"
Minnesota,Eden Prairie,62052,0.0,,4.8,17.7,172.4,"1,347.3",32.2,,"1,551.9"
Texas,Edinburg,80332,1.2,36.1,62.2,344.8,"1,066.8","4,563.6",260.2,444.4,"5,890.6"
Oklahoma,Edmond,83473,2.4,14.4,24.0,61.1,363.0,"1,593.3",56.3,101.8,"2,012.6"
California,Encinitas,60960,1.6,19.7,37.7,187.0,477.4,"1,524.0",124.7,246.1,"2,126.0"
Illinois,Evanston,74820,4.0,5.3,105.6,189.8,562.7,"2,098.4",84.2,304.7,"2,745.3"
Connecticut,Fairfield,60122,0.0,3.3,21.6,29.9,384.2,"1,663.3",116.4,54.9,"2,163.9"
Massachusetts,Fall River,89753,2.2,57.9,291.9,710.8,862.4,"1,848.4",304.2,"1,062.9","3,014.9"
Michigan,Farmington Hills,80316,1.2,18.7,14.9,57.3,287.6,"1,129.3",156.9,92.1,"1,573.8"
Arkansas,Fayetteville,75387,1.3,76.9,53.1,383.4,668.6,"3,191.5",176.4,514.7,"4,036.5"
Washington,Federal Way,91978,3.3,46.8,115.2,156.6,"1,026.3","3,657.4",867.6,321.8,"5,551.3"
Indiana,Fishers,79375,0.0,1.3,11.3,5.0,127.2,873.1,34.0,17.6,"1,034.3"
Arizona,Flagstaff,66633,0.0,42.0,67.5,283.6,363.2,"3,801.4",88.5,393.2,"4,253.1"
Texas,Flower Mound,68023,0.0,0.0,7.4,23.5,157.3,645.4,25.0,30.9,827.7
California,Folsom,73678,0.0,9.5,32.6,73.3,319.0,"1,307.0",107.2,115.4,"1,733.2"
Florida,Fort Myers,64379,37.3,40.4,267.2,826.4,787.5,"2,545.9",310.7,"1,171.2","3,644.0"
Arkansas,Fort Smith,87483,5.7,78.9,108.6,592.1,"1,216.2","4,028.2",209.2,785.3,"5,453.6"
Massachusetts,Framingham,69605,0.0,10.1,30.2,181.0,364.9,"1,270.0",143.7,221.2,"1,778.6"
New Jersey,"Franklin Township, Somerset County",62885,1.6,3.2,74.7,35.0,562.9,"1,122.7",143.1,114.5,"1,828.7"
Tennessee,Franklin,64848,1.5,17.0,17.0,107.9,138.8,"1,390.9",63.2,143.4,"1,593.0"
Maryland,Frederick,66808,1.5,38.9,158.7,371.2,366.7,"2,285.7",190.1,570.3,"2,842.5"
Indiana,Gary,80472,46.0,69.6,341.7,447.4,"2,030.5","2,567.4",963.1,904.7,"5,560.9"
North Carolina,Gastonia,72782,1.4,39.8,215.7,361.4,"1,343.7","4,224.9",273.4,618.3,"5,842.1"
New Jersey,Gloucester Township,64898,0.0,10.8,63.2,246.5,607.1,"1,670.3",95.5,320.5,"2,373.0"
Arizona,Goodyear,67033,0.0,17.9,35.8,100.0,714.6,"1,772.3",159.6,153.7,"2,646.5"
New York,Greece Town,96752,0.0,18.6,47.5,67.2,423.8,"2,138.5",79.6,133.3,"2,641.8"
Colorado,Greeley,96276,1.0,41.5,66.5,333.4,563.0,"2,659.0",146.5,442.5,"3,368.4"
North Carolina,Greenville,86869,8.1,26.5,194.5,294.7,"1,300.8","2,988.4",137.0,523.8,"4,426.2"
South Carolina,Greenville,60953,1.6,34.5,170.6,628.4,989.3,"3,955.5",342.9,835.1,"5,287.7"
Connecticut,Greenwich,61948,0.0,3.2,9.7,24.2,72.6,485.9,35.5,37.1,594.0
Connecticut,Hamden,61032,3.3,4.9,63.9,455.5,321.1,"1,784.3",158.9,527.6,"2,264.4"
New Jersey,"Hamilton Township, Mercer County",89111,0.0,11.2,110.0,89.8,548.8,"1,522.8",148.1,211.0,"2,219.7"
Ohio,Hamilton,62791,4.8,141.7,250.0,195.9,"2,052.8","5,124.9",328.1,592.4,"7,505.9"
Indiana,Hammond,81010,7.4,22.2,237.0,554.3,"1,155.4","2,645.4",455.5,820.9,"4,256.3"
Texas,Harlingen,67112,6.0,34.3,92.4,271.2,903.0,"3,807.1",165.4,403.8,"4,875.4"
Massachusetts,Haverhill,61897,3.2,19.4,84.0,568.7,634.9,"1,486.3",203.6,675.3,"2,324.8"
California,Hawthorne,85692,8.2,30.3,358.3,346.6,671.0,"1,328.0",546.1,743.4,"2,545.2"
California,Hemet,81213,1.2,25.9,179.8,293.1,"1,295.4","2,407.3",589.8,499.9,"4,292.4"
California,Hesperia,92383,6.5,18.4,74.7,335.6,992.6,"1,282.7",433.0,435.1,"2,708.3"
Oregon,Hillsboro,94119,2.1,36.1,55.2,97.7,343.2,"1,823.2",122.2,191.2,"2,288.6"
Florida,Homestead,62785,6.4,52.6,501.7,"1,103.8","1,396.8","3,426.0",299.4,"1,664.4","5,122.2"
Alabama,Hoover,82332,2.4,15.8,55.9,30.4,477.3,"2,067.2",103.2,104.5,"2,647.8"
California,Indio,78501,2.5,28.0,194.9,347.8,"1,065.0","1,867.5",622.9,573.2,"3,555.4"
Iowa,Iowa City,69214,1.4,41.9,44.8,179.2,559.1,"2,014.0",88.1,267.3,"2,661.3"
Tennessee,Jackson,65725,16.7,33.5,290.6,"1,138.1","1,478.9","3,254.5",205.4,"1,478.9","4,938.8"
Wisconsin,Janesville,63642,3.1,33.0,55.0,190.1,532.7,"3,235.3",102.1,281.3,"3,870.1"
Georgia,Johns Creek,80037,0.0,3.7,20.0,30.0,129.9,507.3,20.0,53.7,657.2
Tennessee,Johnson City,64342,1.6,21.8,79.3,393.2,839.3,"3,478.3",150.8,495.8,"4,468.3"
Arkansas,Jonesboro,68807,5.8,30.5,113.4,279.0,"1,694.6","2,745.4",148.2,428.7,"4,588.2"
California,Jurupa Valley,97577,1.0,12.3,95.3,211.1,749.2,"1,823.2",680.5,319.7,"3,252.8"
Michigan,Kalamazoo,74797,12.0,102.9,220.6,542.8,"1,116.4","2,854.4",200.5,878.4,"4,171.3"
Louisiana,Kenner,67110,3.0,17.9,90.9,95.4,576.7,"2,939.9",222.0,207.1,"3,738.6"
Washington,Kennewick,76971,1.3,42.9,45.5,207.9,584.6,"2,332.0",165.0,297.5,"3,081.7"
Wisconsin,Kenosha,99993,1.0,36.0,105.0,132.0,707.0,"2,194.2",98.0,274.0,"2,999.2"
Florida,Kissimmee,62183,3.2,54.7,194.6,652.9,"1,321.9","3,457.5",225.1,905.4,"5,004.6"
California,La Habra,61731,3.2,11.3,72.9,150.7,413.1,"1,278.1",171.7,238.1,"1,862.9"
Indiana,Lafayette,68160,1.5,52.8,101.2,441.6,"1,046.1","3,494.7",290.5,597.1,"4,831.3"
California,Laguna Niguel,64533,0.0,9.3,24.8,38.7,291.3,838.3,54.2,72.8,"1,183.9"
California,Lake Forest,79166,0.0,10.1,25.3,99.8,286.7,"1,008.0",79.6,135.2,"1,374.3"
Florida,Lakeland,99934,10.0,33.0,144.1,278.2,"1,296.9","3,737.5",185.1,465.3,"5,219.4"
New Jersey,Lakewood Township,93742,2.1,1.1,49.1,65.1,292.3,837.4,46.9,117.3,"1,176.6"
California,Lakewood,81382,1.2,16.0,125.3,136.4,455.9,"1,696.9",380.9,278.9,"2,533.7"
Pennsylvania,Lancaster,60155,11.6,61.5,345.8,354.1,729.8,"3,908.2",182.9,773.0,"4,820.9"
Florida,Largo,78783,1.3,54.6,144.7,299.6,728.6,"3,062.8",165.0,500.1,"3,956.4"
New Mexico,Las Cruces,99824,5.0,56.1,70.1,263.5,992.7,"3,219.7",214.4,394.7,"4,426.8"
Florida,Lauderhill,69046,11.6,27.5,350.5,460.6,"1,793.0","2,188.4",267.9,850.2,"4,249.3"
Kansas,Lawrence,89180,0.0,58.3,59.4,297.2,677.3,"3,577.0",227.6,414.9,"4,481.9"
Massachusetts,Lawrence,77661,2.6,32.2,287.1,688.9,690.2,956.7,883.3,"1,010.8","2,530.2"
Oklahoma,Lawton,98781,13.2,38.5,175.1,704.6,"1,579.3","3,390.3",302.7,931.4,"5,272.3"
Utah,Layton,69420,0.0,47.5,10.1,63.4,469.6,"2,179.5",99.4,121.0,"2,748.5"
Texas,League City,86127,0.0,18.6,32.5,40.6,347.2,"1,586.0",80.1,91.7,"2,013.3"
Missouri,Lee's Summit,91840,0.0,14.2,26.1,78.4,286.4,"1,912.0",117.6,118.7,"2,316.0"
California,Livermore,82800,0.0,18.1,38.6,306.8,374.4,"1,593.0",212.6,363.5,"2,180.0"
Michigan,Livonia,96028,3.1,19.8,33.3,95.8,336.4,"1,667.2",208.3,152.0,"2,211.9"
California,Lodi,63718,3.1,18.8,135.0,282.5,"1,183.3","2,366.7",528.9,439.4,"4,078.9"
Colorado,Longmont,88925,0.0,12.4,33.7,165.3,403.7,"1,917.3",118.1,211.4,"2,439.1"
Texas,Longview,82554,8.5,33.9,158.7,359.8,"1,150.8","3,568.6",382.8,560.8,"5,102.1"
Ohio,Lorain,64148,6.2,53.0,212.0,235.4,"1,942.4","2,913.6",183.9,506.6,"5,039.9"
Colorado,Loveland,69147,0.0,31.8,31.8,146.1,328.3,"2,205.4",66.5,209.7,"2,600.3"
Virginia,Lynchburg,77347,3.9,44.0,59.5,237.9,471.9,"2,144.9",89.2,345.2,"2,706.0"
Massachusetts,Lynn,91846,2.2,52.3,185.1,581.4,760.0,"1,757.3",301.6,820.9,"2,818.8"
California,Lynwood,70908,12.7,33.8,297.6,418.9,493.6,709.4,733.3,763.0,"1,936.3"
Georgia,Macon,92836,22.6,44.2,260.7,300.5,"1,969.1","4,708.3",538.6,628.0,"7,216.0"
California,Madera,62796,3.2,30.3,181.5,527.1,"1,039.9",990.5,551.0,742.1,"2,581.4"
Massachusetts,Malden,60605,1.7,31.4,123.8,305.3,463.7,"1,310.1",211.2,462.0,"1,985.0"
California,Manteca,68887,0.0,16.0,120.5,248.2,659.1,"2,676.8",556.0,384.7,"3,891.9"
Minnesota,Maple Grove,62840,0.0,,17.5,20.7,251.4,"1,745.7",39.8,,"2,036.9"
Washington,Marysville,61381,3.3,26.1,58.7,101.0,648.4,"1,906.1",327.5,189.0,"2,882.0"
Oregon,Medford,76037,2.6,51.3,84.2,420.8,627.3,"4,950.2",232.8,558.9,"5,810.3"
Florida,Melbourne,77133,7.8,62.2,172.4,610.6,840.1,"3,379.9",154.3,853.1,"4,374.3"
California,Menifee,80047,1.2,5.0,30.0,72.5,633.4,"1,385.4",407.3,108.7,"2,426.1"
California,Merced,80976,11.1,30.9,265.5,692.8,"1,179.4","3,360.3",537.2,"1,000.3","5,076.8"
Connecticut,Meriden,60934,8.2,41.0,124.7,190.4,690.9,"2,007.1",275.7,364.3,"2,973.7"
Idaho,Meridian,77270,0.0,16.8,11.6,90.6,284.7,"1,281.2",25.9,119.1,"1,591.8"
Florida,Miami Beach,91066,5.5,46.1,446.9,534.8,"1,150.8","8,275.3",487.6,"1,033.3","9,913.7"
New Jersey,Middletown Township,66919,1.5,9.0,12.0,44.8,240.6,829.4,22.4,67.2,"1,092.4"
California,Milpitas,68433,1.5,16.1,49.7,51.1,485.1,"1,972.7",498.3,118.4,"2,956.2"
California,Mission Viejo,95599,0.0,3.1,29.3,43.9,225.9,979.1,47.1,76.4,"1,252.1"
Texas,Mission,80557,3.7,7.4,57.1,60.8,525.1,"2,219.5",197.4,129.1,"2,942.0"
Montana,Missoula,67758,0.0,36.9,48.7,240.6,557.9,"3,775.2",155.0,326.2,"4,488.0"
Texas,Missouri City,70819,0.0,11.3,48.0,62.1,309.2,865.6,66.4,121.4,"1,241.2"
California,Montebello,63538,4.7,6.3,105.4,113.3,"1,130.0",978.9,684.6,229.8,"2,793.6"
California,Monterey Park,61270,6.5,1.6,68.5,45.7,406.4,899.3,362.3,122.4,"1,668.0"
South Carolina,Mount Pleasant,70016,0.0,7.1,8.6,202.8,245.7,"1,428.2",82.8,218.5,"1,756.7"
New York,Mount Vernon,68146,14.7,20.5,330.2,534.1,475.4,"1,300.1",198.1,899.5,"1,973.7"
