City,Median Income,State
Tampa,169317,Florida
The Villages,45000,Florida
Town 'n' Country,31323,Florida
Wesley Chapel,26661,Florida
Weston,22243,Florida
West Palm Beach,50890,Florida
Albany,28379,Georgia
Alpharetta,26224,Georgia
Athens-Clarke County unified government (balance),54856,Georgia
Atlanta,233047,Georgia
Augusta-Richmond County consolidated government (balance),76232,Georgia
Columbus,82007,Georgia
Johns Creek,28800,Georgia
Macon-Bibb County,60919,Georgia
Roswell,35275,Georgia
Sandy Springs,50453,Georgia
Savannah,60129,Georgia
South Fulton,40298,Georgia
Warner Robins,33527,Georgia
Urban Honolulu,137203,Hawaii
Boise City,104336,Idaho
Caldwell,21765,Idaho
Idaho Falls,24008,Idaho
Meridian,50116,Idaho
Nampa,41060,Idaho
Arlington Heights village,32370,Illinois
Aurora,61278,Illinois
Bloomington,33447,Illinois
Bolingbrook village,25142,Illinois
Champaign,40599,Illinois
Chicago,1179081,Illinois
Cicero,24167,Illinois
Decatur,30783,Illinois
Elgin,41062,Illinois
Evanston,31310,Illinois
Joliet,52512,Illinois
Naperville,55580,Illinois
Palatine village,27531,Illinois
Peoria,49577,Illinois
Rockford,62552,Illinois
Schaumburg village,31791,Illinois
Skokie village,23942,Illinois
Springfield,51843,Illinois
Waukegan,31784,Illinois
Bloomington,33738,Indiana
Carmel,38523,Indiana
Evansville,51696,Indiana
Fishers,38270,Indiana
Fort Wayne,115195,Indiana
Gary,27688,Indiana
Hammond,29271,Indiana
Indianapolis(balance),368064,Indiana
Lafayette,31331,Indiana
Muncie,26505,Indiana
Noblesville,28543,Indiana
South Bend,42331,Indiana
Ames,26633,Iowa
Ankeny,30257,Iowa
Cedar Rapids,58123,Iowa
Davenport,44171,Iowa
Des Moines,90465,Iowa
Iowa City,30588,Iowa
Sioux City,32278,Iowa
Waterloo,28471,Iowa
West Des Moines,33094,Iowa
Kansas City,57487,Kansas
Lawrence,41551,Kansas
Olathe,53252,Kansas
Overland Park,85022,Kansas
Shawnee,28168,Kansas
Topeka,55148,Kansas
Wichita,163555,Kansas
Bowling Green,32904,Kentucky
Lexington-Fayette urban county,141680,Kentucky
Louisville/Jefferson County metro government (balance),264694,Kentucky
Baton Rouge,86978,Louisiana
Kenner,23924,Louisiana
Lafayette,53953,Louisiana
Lake Charles,33140,Louisiana
Metairie,61486,Louisiana
New Orleans,155005,Louisiana
Shreveport,78443,Louisiana
Portland,34067,Maine
Baltimore,259385,Maryland
Bethesda,28973,Maryland
Columbia,42978,Maryland
Ellicott City,25715,Maryland
Frederick,34562,Maryland
Gaithersburg,25813,Maryland
German,34372,Maryland
Glen Burnie,29159,Maryland
Rockville,26261,Maryland
Silver Spring,35086,Maryland
Waldorf,31345,Maryland
Boston,288129,Massachusetts
Brockton,35485,Massachusetts
Cambridge,49310,Massachusetts
Fall River,43425,Massachusetts
Framingham,25727,Massachusetts
Haverhill,27274,Massachusetts
Lawrence,32631,Massachusetts
Lowell,43220,Massachusetts
Lynn,36403,Massachusetts
Malden,27716,Massachusetts
New Bedford,41300,Massachusetts
Newton,32074,Massachusetts
Quincy,46448,Massachusetts
Somerville,37108,Massachusetts
Springfield,56229,Massachusetts
Worcester,81973,Massachusetts
Ann Arbor,49077,Michigan
Dearborn,38777,Michigan
Detroit,255857,Michigan
Farmington Hills,37173,Michigan
Flint,33879,Michigan
Grand Rapids,80311,Michigan
Kalamazoo,30482,Michigan
Lansing,52849,Michigan
Livonia,38023,Michigan
Novi,26962,Michigan
Rochester Hills,28914,Michigan
Southfield,35348,Michigan
Sterling Heights,52105,Michigan
Troy,34743,Michigan
Warren,54644,Michigan
Westland,35723,Michigan
Wyoming,30586,Michigan
Blaine,25670,Minnesota
Bloomington,39370,Minnesota
Brooklyn Park,29325,Minnesota
Duluth,38843,Minnesota
Eagan,27978,Minnesota
Lakeville,25289,Minnesota
Maple Grove,29987,Minnesota
Minneapolis,198866,Minnesota
Plymouth,29393,Minnesota
Rochester,51184,Minnesota
St. Cloud,25769,Minnesota
St. Paul,126409,Minnesota
Woodbury,31280,Minnesota
Gulfport,31011,Mississippi
Jackson,60636,Mississippi
Columbia,53894,Missouri
Independence,51311,Missouri
Kansas City,227773,Missouri
Lee's Summit,40435,Missouri
O'Fallon,34714,Missouri
St. Charles,31316,Missouri
St. Joseph,28196,Missouri
St. Louis,150404,Missouri
Springfield,79707,Missouri
Billings,52878,Montana
Missoula,35775,Montana
Lincoln,126828,Nebraska
Omaha,204135,Nebraska
Enterprise,90011,Nevada
Henderson,136680,Nevada
Las Vegas,252848,Nevada
North Las Vegas,92288,Nevada
Paradise,74847,Nevada
Reno,114623,Nevada
Sparks,41595,Nevada
Spring Valley,82320,Nevada
Sunrise Manor,67326,Nevada
Manchester,50053,New Hampshire
Nashua,36451,New Hampshire
Bayonne,30335,New Jersey
Camden,27511,New Jersey
Clifton,31968,New Jersey
East Orange,30360,New Jersey
Elizabeth,45491,New Jersey
Jersey City,130020,New Jersey
Lakewood,13406,New Jersey
Newark,114599,New Jersey
Passaic,21234,New Jersey
Paterson,51969,New Jersey
Toms River,36998,New Jersey
Trenton,32131,New Jersey
Union City,25001,New Jersey
Albuquerque,243664,New Mexico
Las Cruces,50409,New Mexico
Rio Rancho,42054,New Mexico
Santa Fe,42397,New Mexico
Albany,44875,New York
Buffalo,123347,New York
Cheektowaga,34150,New York
Mount Vernon,27369,New York
New Rochelle,29052,New York
New York,3394750,New York
Rochester,91471,New York
Schenectady,28730,New York
Syracuse,60652,New York
Yonkers,79190,New York
Apex,27306,North Carolina
Asheville,39811,North Carolina
Cary,71248,North Carolina
Charlotte,375680,North Carolina
Concord,42777,North Carolina
Durham,127514,North Carolina
Fayetteville,83410,North Carolina
Gastonia,33496,North Carolina
Greensboro,125752,North Carolina
Greenville,41037,North Carolina
High Point,45442,North Carolina
Jacksonville,24538,North Carolina
Raleigh,211433,North Carolina
Wilmington,59730,North Carolina
Winston-Salem,107693,North Carolina
Bismarck,34598,North Dakota
Fargo,60510,North Dakota
Akron,85349,Ohio
Canton,29864,Ohio
Cincinnati,149698,Ohio
Cleveland,168307,Ohio
Columbus,394905,Ohio
Dayton,57882,Ohio
Lorain,27930,Ohio
Parma,34406,Ohio
Toledo,117902,Ohio
Broken Arrow,44802,Oklahoma
Edmond,39282,Oklahoma
Lawton,34205,Oklahoma
Norman,54715,Oklahoma
Oklahoma City,284755,Oklahoma
Tulsa,173905,Oklahoma
Beaverton,43874,Oregon
Bend,46318,Oregon
Eugene,78974,Oregon
Gresham,42173,Oregon
Hillsboro,42575,Oregon
Medford,34867,Oregon
Portland,292037,Oregon
Salem,68817,Oregon
Allen,46104,Pennsylvania
Bethlehem,32208,Pennsylvania
Erie,39704,Pennsylvania
Philadelphia,688112,Pennsylvania
Pittsburgh,140615,Pennsylvania
Reading,31358,Pennsylvania
Scranton,31094,Pennsylvania
Cranston,31571,Rhode Island
Pawtucket,33667,Rhode Island
Providence,71374,Rhode Island
Warwick,36989,Rhode Island
Charleston,69588,South Carolina
Columbia,58713,South Carolina
Greenville,35609,South Carolina
Mount Pleasant,40023,South Carolina
North Charleston,53710,South Carolina
Rock Hill,31189,South Carolina
Rapid City,33880,South Dakota
Sioux Falls,90489,South Dakota
Chattanooga,81086,Tennessee
Clarksville,71172,Tennessee
Franklin,35730,Tennessee
Jackson,28458,Tennessee
Johnson City,31162,Tennessee
Knoxville,87036,Tennessee
Memphis,257188,Tennessee
Murfreesboro,63223,Tennessee
Nashville-Davidson metropolitan government (balance),330506,Tennessee
Abilene,47511,Texas
Allen,38830,Texas
Amarillo,80754,Texas
Arlington,150945,Texas
Atascocita,38628,Texas
Austin,475680,Texas
Bay,31402,Texas
Beaumont,44169,Texas
Brownsville,64083,Texas
Bryan,33775,Texas
Carrollton,52503,Texas
Cedar Park,27998,Texas
College Station,47029,Texas
Conroe,42134,Texas
Corpus Christi,118392,Texas
Dallas,536727,Texas
Denton,59711,Texas
Edinburg,34958,Texas
El Paso,249362,Texas
Flower Mound,29171,Texas
Fort Worth,346392,Texas
